10,1,2.86102e-06
10,10,2.86102e-06
10,100,2.19345e-05
10,1000,8.10623e-05
100,1,5.00679e-06
100,10,1.09673e-05
100,100,8.10623e-05
100,1000,0.000788927
1000,1,1.97887e-05
1000,10,8.89301e-05
1000,100,0.00079298
1000,1000,0.00801301
10000,1,0.000175953
10000,10,0.00087595
10000,100,0.00803185
10000,1000,0.0785689
100000,1,0.0017879
100000,10,0.00893807
100000,100,0.079376
100000,1000,0.785008
1000000,1,0.0179579
1000000,10,0.0878222
1000000,100,0.791594
1000000,1000,7.83998
10000000,1,0.174645
10000000,10,0.870361
10000000,100,7.91142
10000000,1000,78.8922
100000000,1,1.74638
100000000,10,8.7057
100000000,100,79.1308
100000000,1000,784.003
